Strike,Moneyness,Bid,Mid,Ask,Last,Change,%Chg,Volume,Open Int,OI Chg,IV,Delta,Type,Last Trade,Current Stock Price,Expiry Time (d)
"1,205.00",-1.06%,13.65,14.08,14.5,14.1,-1.87,-11.71%,37,155,34,25.54%,-0.3833,Put,6/03/2025,,
"1,207.50",-0.86%,14.45,14.98,15.5,15.7,-1.3,-7.65%,5,67,14,25.36%,-0.4017,Put,6/03/2025,,
"1,210.00",-0.65%,15.6,15.9,16.2,16,-2.03,-11.26%,97,142,38,25.30%,-0.4208,Put,6/03/2025,,
"1,212.50",-0.45%,16.5,17.08,17.65,16.75,-2.3,-12.07%,15,50,50,24.84%,-0.4396,Put,6/03/2025,,
"1,215.00",-0.24%,17.7,18.23,18.75,17.83,-2.22,-11.07%,220,126,95,24.74%,-0.4594,Put,6/03/2025,,
"1,217.50",-0.04%,19,19.45,19.9,19,-2.5,-11.63%,75,56,56,24.68%,-0.4795,Put,6/03/2025,,
"1,220.00",0.17%,20.05,20.6,21.15,20,-2.5,-11.11%,248,160,61,25.10%,-0.4994,Put,6/03/2025,,
"1,222.50",0.37%,21.2,21.78,22.35,21.85,-4,-15.47%,26,3,2,25.02%,-0.5194,Put,6/03/2025,,
"1,225.00",0.58%,22.8,23.28,23.75,22.9,-2.15,-8.58%,402,48,15,24.63%,-0.5401,Put,6/03/2025,,
"1,230.00",0.99%,25.4,26,26.6,25.15,-4.9,-16.31%,171,42,-6,24.91%,-0.5789,Put,6/03/2025,,
"1,235.00",1.40%,27.95,28.98,30,29.3,-12.22,-29.43%,10,10,-1,25.22%,-0.6157,Put,6/03/2025,,
"1,240.00",1.81%,31.35,32.3,33.25,33.45,-3.25,-8.86%,14,12,9,24.88%,-0.6552,Put,6/03/2025,,
"1,245.00",2.22%,34.4,35.47,36.55,36.45,-3.85,-9.55%,17,18,17,25.88%,-0.6835,Put,6/03/2025,,
"1,250.00",2.63%,37.95,39.15,40.35,40.5,-2.92,-6.73%,22,18,17,24.59%,-0.7279,Put,6/03/2025,,
"1,255.00",3.04%,41.5,43,44.5,50.3,unch,unch,0,5,5,24.70%,-0.7595,Put,6/02/2025,,
"1,260.00",3.45%,45.4,46.65,47.9,45.8,-2.15,-4.48%,2,22,22,22.68%,-0.813,Put,6/03/2025,,
Downloaded from Barchart.com as of 06-03-2025 06:14pm CDT,,,,,,,,,,,,,,,,
